Timestamp,Title,Place,Organisation,Requirements,Description,Salary,Contact,Further Information,Application deadline,Taggs,Editor,Other:,Job Type,Issue,
4/17/2011 12:40:26,PhD student or postdoctoral researcher in cognitive/computer science,Germany,"The Collaborative Research Centre 673 ""Alignment in Communication"", project A3 ""Dialogue and Group Dynamics""","Applicants should have a Master's or PhD degree in one of the cognitive sciences or computing sciences, with a focus on agent-based simulation techniques. Additional background knowledge in psycholinguistics or computational linguistics would be of advantage. The purpose of the research project is to investigate theories about the evolution of language and communication. Applicants should be fluent in German or English.
","We welcome applications from severely handicapped people. We particularly welcome applications from women. Given equal suitability, qualifications and professional achievement, women will be given preference, unless particular circumstances pertaining to a male applicant predominate. Part-time employment is possible.
",,"Please send your application, preferably per email (letter, CV, relevant
publications) and before 30th April 2011 to Prof. Jan de Ruiter (Jan.deRuiter@uni-bielefeld.de).",http://www.sfb673.org/,30/04/2011,,,,PhD position,218,
4/17/2011 12:42:25,Two postdoctoral positions on Dialogue Systems,Scotland,The School of Informatics at the University of Edinburgh,"Candidates should have experience in building and evaluating dialogue systems and an excellent track record in publishing papers as first author or co-author in high quality journals and conferences on such research. In addition, a working knolwedge of formally precise computational semantic models of dialogue processing and/or a background in formal models of human action and decision making (e.g., game theory, BDI logics, logics of preferences or AI-based models of planning) would be highly desirable.","The researcher will form part of a team that includes researchers in Toulouse, Edinburgh and Heriot Watt funded on an ERC grant entitled ""Strategic Conversation"". This grant aims to study and analyse non-cooperative natural language conversations in several domains, but in particular in the domain of the game Settlers of Catan (a trading game over restricted resources).",,"Alex Lascarides, alex@inf.ed.ac.uk",The postdoc RA http://www.jobs.ed.ac.uk/vacancies/index.cfm?fuseaction=vacancies.detail&vacancy_ref=3014231 and The postdoc Research Fellow: http://www.jobs.ed.ac.uk/vacancies/index.cfm?fuseaction=vacancies.detail&vacancy_ref=3014232,3/5/2011,,,,Post-doctoral position,218,
4/17/2011 12:44:57,Handling Complexities in Large Clinical Datasets,"Hull, UK",University of Hull,,"The aims of the research are:
(a) Investigate methods for handling missing data e.g. Expected maximum likelihood, imputation, hot-decking, mean/mode, classifier and ensemble methods
(b) Investigate the relationships between methods for filling in missing data feature
extraction/feature selection methods, with a view to develop prediction models and Decision Support Systems
(c) Develop Bayesian methods for missing data and thus develop an integrated solution for handling missing data and feature selection, and at the same time handle unbalanced classes.
","£13,490 in 2011/12, subject to final confirmation for three years","Dr. Chandra Kambhampati, c.kambhampati@hull.ac.uk",http://www2.hull.ac.uk/science/pdf/CS%20Chandra%20Ad%20for%202011%20PhD%20Studentships.pdf,27/05/2011,,,,PhD position,218,
4/17/2011 15:01:13,Two PhD student positions and one postdoctoral position in Natural and Computational Logic,The Netherlands,Tilburg Center for Logic and Philosophy of Science (TiLPS),"Individuals are encouraged to apply who have an interest in logical and computational theories of ordinary reasoning, natural logic, and/or linguistic semantics and who want to investigate these topics in a setting of tableau theorem proving and model checking. The positions are part of the program  ""Towards Logics that Model Natural Reasoning"", funded by a Free Competition grant from the Netherlands Organization for Scientific Research (NWO) and led by Reinhard Muskens. More information about this program and about the projects can be found at http://tinyurl.com/tilnatlog.

The two PhD students are required to complete a PhD thesis within maximally four years. These positions are open to candidates with a master's degree or equivalent. The successful candidate for the postdoc position must have a PhD in a relevant area.
","The Tilburg Center for Logic and Philosophy of Science (TiLPS) invites applications for two four-year
full-time PhD positions and one two-year postdoc position, commencing June 1st, 2011:

1 PhD student in Natural Logic and Linguistic Semantics
1 PhD student in Computational Logic and Natural Reasoning
1 postdoc researcher in Natural Logic and Natural Reasoning
",,"Applications (in English) should include a cover letter, a curriculum vitae, a two-page research proposal, and the names of two references. Only applications made with the help of our Application Wizard will be taken into consideration:

- Go to http://tinyurl.com/tilvacs
- Click on the relevant vacancy
- Click ""apply directly"".
",http://tinyurl.com/tilps,15/04/2011,,,,PhD position,218,
4/17/2011 15:04:50,Postdoctoral position or PhD student position in Mathematical Logic,Germany,"Greifswald University, Institute for Mathematics and Computer Science",Applicants should be fluent in German.,"We invite applications for an open two-year Postdoc position (Assistant), or two PhD Scholarships, in Mathematical Logic (computability and computational complexity) at Greifswald University, Institute for Mathematics and Computer Science, starting from 1 October 2011.
",,Contact and further information: hemmerli@uni-greifswald.de,https://pinguin4.math-inf.uni-greifswald.de/mathe/index.php/aktuelles/538-stellenausschreibung,15/05/2011,,,,"PhD position, Postdoctoral position",218,
4/17/2011 15:07:15,PhD student position in in applying description logic to semantic patent informatics,Germany,Freie Universitaet Berlin,"The ideal candidate holds a very good Master degree (or German diploma
degree) in Computer Science or related field and is able to consider both theoretical and practical and implementation aspects in her/his work. Fluent English communication and programming skills are fundamental requirements.
- A strong background in Computer Science or related disciplines
- Willingness to work in an international environment
- The ability to take part in a large-scale international research project with an industry partner
- Willingness to combine formal scientific work with application-oriented research in order to solve real-world problems
- Research interest and expertise in at least one of the areas:
Formal languages and reasoning (Description Logics, Logic Programming, normative legal reasoning), rule and ontology languages, Semantic Web, formal logic-based patent informatics, logic-based natural language processing and knowledge representation.",AG Corporate Semantic Web (http://www.inf.fu-berlin.de/en/groups/ag-csw/) at the Freie Universitaet Berlin is currently seeking candidates for two positions as a PhD student in a 2-year industrial research project in Semantic Patent Informatics. The project is aiming at the semantic representation and reasoning on patents and national patent laws.,,"Contact and application:

Freie Universität Berlin
Institut für Informatik
AG Corporate Semantic Web
Melanie Siering
Königin-Luise-Straße 24-26
D-14195 Berlin
siering@inf.fu-berlin.de
",http://www.inf.fu-berlin.de/en/groups/ag-csw/,28/03/2011,,,,PhD postion,218,
4/17/2011 15:10:26,"PhD studentship in ""Foundations for Heterogeneous Computation""",Birmingham (UK),School of Computer Science at the University of Birmingham,"Applicants require a first-class Honours degree or equivalent in Computer Science, Mathematics or Computer Engineering, experience in programming and aptitude for mathematical subjects. A Masters degree is highly desirable. Experience in any of the following areas is relevant although no required: semantics, type theory, static analysis, system-level programming, microprocessor design, FPGA design, compiler design and optimisation, GPU programming. The position is open for UK and EU applicants, but exceptionally strong candidates from outside the EU may be considered subject to availability of funds. Before the Scholarship can be awarded the candidate must also undergo the formal admission procedure to the university.","The Scholar will work under the supervision of Dr. Dan R. Ghica from University of Birmingham, a leading centre for research in programming language theory. On behalf of Microsoft Research, the Scholar will be also supervised by Prof. Satnam Singh.

The Microsoft PhD Scholarship Programme recognises and supports exceptional students who show the potential to make an outstanding contribution to science and computing. Each Microsoft scholarship consists of an annual bursary of £23,000 for up to a maximum of three years. In addition, every Scholar receives a laptop with a selection of software applications. During the course of their PhD, Scholars are invited to Microsoft Research in Cambridge for an annual Summer School that includes a series of talks of academic interest and posters sessions, which provides the Scholars the opportunity to present their work to Microsoft researchers and a number of Cambridge academics. Some of the Scholars may also be offered, at the discretion of Microsoft Research, an internship in one of the Microsoft Research laboratories. Internships involve working on a project alongside and as part of a team of Microsoft researchers.
Scholars are paid during their internship, in addition to their scholarship bursary.
","Annual bursary of £23,000 for up to a maximum of three years","Dr. Dan R. Ghica, d.r.ghica@cs.bham.ac.uk",http://research.microsoft.com/en-us/collaboration/global/open-phd-positions.aspx,1/5/2011,,,,PhD position,218,
4/17/2011 18:07:08,PhD position on ABM for urban land use,UFZ Leipzig,Department of Computational Landscape Ecology,"Applicants should have a background in scientific fields such as social geography, environmental / social modelling, environmental sciences or agent-based modelling. Software skills in at least one programming language (preferably Java) and GIS are an advantage. We expect good written and oral communication skills in English and also in German, as contacts to local stakeholders and use of German empirical data are part of the project. Ability for working in an international interdisciplinary team is obligatory.","The candidate is expected to develop an agent-based model on residential mobility for a shrinking city. The approach encompasses a conceptual description, calibration and validation of the model. Empirical data to be used in the model are being surveyed by the department of Urban and Environmental Sociology at the UFZ. The modelling work contributes information for estimating future housing needs as well as investments in energy-efficient technologies in the housing sector.",Salary will be according to the appropriate German civil service level (50%),Further information will be provided by Dr. Nina Schwarz (nina.schwarz@ufz.de) or Prof. Dr. Ralf Seppelt (ralf.seppelt@ufz.de).,http://www.ufz.de/index.php?de=11426&ske_stl_id=1069&ske_seite=detail,4/29/2011,,,,PhD position,218,
4/19/2011 21:34:28,	 Political Networks Post-Doc,Department of Political Science at the Central European University (CEU,"Budapest, Hungary","The candidate is expected to have a PhD or have defended their
dissertation by the beginning of the position. Successful applicant
should have an elaborate research agenda with a focus on network
analysis in the political context.","The candidate will have the option to use datasets available at the center, for example
data on business networks, international trade, or energy delivery infrastructures. In addition to academic research the candidate will be responsible for setting up a website/blog on political network analysis that targets non-academic audience, on issues of political corruption, social movement networks, elite change, political activism online. Finally, the candidate will be responsible for writing grant
applications together with relevant faculty.",,Levente Littvay (CEU) littvayl@CEU-BUDAPEST.EDU,http://polmeth.wustl.edu/mailingDetail.php?order=dateposted&type=m&startdate=2011-04-01&enddate=2011-04-30&mailId=101522659,,rather social science,Richard,,Post-doctoral position,218,
4/22/2011 11:11:46,Assistant Professorship (tenure-track) & Instructorship in Metaphysics and Epistemology,USA,"Kansas State University, Manhattan, Kansas, USA","Advanced ABDs will be considered at the level of Instructor, but Ph.D.
completion should occur by August 2012. Five undergraduate courses a year.
Substantive research program. Standard service duties. Opportunity for summer teaching. AOC: Open, but willingness to teach History of Ancient or Modern Philosophy is a plus.
","Metaphysics and Epistemology broadly construed to include related areas in History of Analytical Philosophy, Philosophical Logic, Philosophy of Mind and General Philosophy of Science. Some preference may be given to candidates approaching these areas formally or empirically.",,"Address personal letter of application to Bruce Glymour, M&E Search Committee Chair, Department of Philosophy. Send entire application package (letter, CV, writing sample, three letters of recommendation and evidence of teaching effectiveness) electronically as Word or PDF documents to the department assistant at philosophy@ksu.edu.",http://www.k-state.edu/philos,4/28/2011,"rather social science, rather psychology",Richard,,Assistant Professorship,219,
4/22/2011 11:15:21,European PhD Program in Computational Logic (EPCL),Jointly by four of the leading European universities (see description),Italy/Germany/Austria/Portugal,"Necessary requirements for participation in EPCL are a Master's degree in Computer Science or Mathematics, or an equivalent degree; the proof of adequate knowledge of English; and substantial knowledge in the areas Foundations of Logics, Foundations of Artificial Intelligence and Declarative Programming.","The program involves three years of PhD study in at least two of the European partner universities: Free University of Bozen-Bolzano, Technische Universitt, Dresden, Technische University, Wien, Universidade Nova de Lisboa. It leads to a joint doctoral degree of the partner universities at which the studies have been physically performed.  The language of the program is English.  Financial support is available in the form of positions and scholarships.


",,sh@iccl.tu-dresden.de,http://www.epcl-study.eu/,5/15/2011,"rather mathematical, rather computer science",Richard,,PhD student position,219,
4/22/2011 11:26:22,PhD student position in Mathematical Neuroscience,"Sussex, UK",University of Sussex,"Applicants should have a strong background in mathematics (stochastic processes, network theory) and good programming skills. A keen interest in neuroscience is essential.","The focus of this studentship is on the recently proposed notion that the brain may be poised in a critical state. This notion is supported by a number of findings from neurophysiology showing that human MEG and EEG recordings exhibit a slow decay in their auto-covariance function, indicating that the brain networks carry a memory of past dynamics for hundreds of seconds. This project seeks to establish what are the processes underlying the emergence of such a regime, and to explore its functional benefits.","Annual tax-free stipend at Research Council Rates (was £13,590 in 2010/11)","Enquiries and applications should be made to Luc Berthouze (L.Berthouze@sussex.ac.uk). To apply, please send: (i) An academic CV, (ii) Official academic transcripts of marks, and certificates, (iii) Contact details for two suitable referees, and (iv) A personal statement outlining your suitability for the project, why you want to do a PhD, your research experience to date relevant to the project, and why this particular project interests you.",,6/1/2011,"rather mathematical, rather computer science",Richard,,PhD student position,219,
4/22/2011 11:36:23,Assistant professorship in mathematical logic,Japan,Japan Advanced Institute of Science and Technology,"Candidates have to be highly competent in conducting research work in Mathematical Logic and Foundations (such as constructive mathematics and reverse mathematics, including application to information science).","Details may be found at the following address:

http://www.jaist.ac.jp/jimu/syomu/koubo/logic-e-revised.htm",,Professor Hajime Ishihara: ishihara@jaist.ac.jp,http://www.jaist.ac.jp/jimu/syomu/koubo/logic-e-revised.htm,9/1/2011,rather mathematical,Richard,,Assistant Professorship,219,
4/29/2011 14:43:10,Organizational Diagnostic and Research Analyst,"Washington, D.C., USA",McKinsey & Company,"Background/Training: Master's degree in a social science discipline or 
business management program is preferred, but not required for candidacy. 
A highly qualified candidate will present a strong academic track record 
from a nationally ranked institution with academic or work experience 
similar to the job responsibilities and qualifications. ","The Organizational Diagnostic and Research Analyst is part of the consulting service support staff in the Organization Practice. In this role you will be trained and designated as a diagnostic expert to assess corporate performance and health in companies around the world. You will provide functional expertise in transformational change, organization design, merger management, operations, and strategy studies to solve real business issues and work with consultants to create management 
recommendations and interventions using best practices in organizational 
effectiveness.",,"Warren Langevin, Warren_Langevin@mckinsey.com

",,,rather social science,Richard,POLMETH,Researcher,219,
4/29/2011 15:00:43,"Post Doctoral Fellowship on the ""Political Economy of Global Finance""",Central European University (CEU),Political Economy Research Group (PERG),,"The Political Economy Research Group (PERG) at Central European University (CEU) invites applications for a two-year post-doctoral fellowship on the “Political Economy of Global Finance” to begin in the fall of 2011. 

The ongoing global financial crisis has demonstrated a clear need to revise established paradigms in comparative political economy. In particular, dominant approaches in this field have underestimated the degree of “financialization,” that is the predominance of financial markets, motives, institutions, and elites in the operation and governance of the economy in all forms of capitalism. Therefore PERG seeks a post-doctoral researcher with a specialty in the international political economy of global finance, financial development, or related topics.",,perg@ceu.hu,http://perg.ceu.hu/,5/2/2011,,Richard,POLMETH,Postdoctoral position,219,
4/29/2011 15:48:20,Professorships in Computer Science Agents & Intelligent Systems,London,"King's College, Department of Informatics, School of Natural and Mathematical Sciences","Applicants for lectureships must have a PhD, an excellent publication record, and the ability to attract research funding. Appointment at the level of Senior Lecturer will be possible for suitably qualified candidates. All applicants must have the enthusiasm and commitment required to enhance the research standing of the new Department, and to make a full contribution to teaching and administrative activities.","The Department of Informatics is seeking applications from candidates with an excellent research track record for up to six academic positions at all levels (Lecturer / Senior Lecturer, Professor). It is anticipated that the successful applicants will contribute to research and teaching in the area of Agents & Intelligent Systems.",,"Professor Michael Luck, michael.luck@kcl.ac.uk",http://www.jobs.ac.uk/job/ACN973/professorships-in-computer-science-agents-and-intelligent-systems or http://www.jobs.ac.uk/job/ACN970/lectureships-in-computer-science-agents-and-intelligent-systems,5/20/2011,"computer science, social science",Richard,agents,Assistant Professorship,219,
4/29/2011 16:28:06,Postdoctoral Research Associate Positions at The Teamcore Research Group,Southern California,University of Southern California,,"A key aspect of our research is the interedisciplinary partnerships beyond Computer Science. To that end, one key group that a potential postdoctoral research associate will interact with is the Game theory and human behavior group (http://gthb.usc.edu). However, research projects also include several other collaborations; please see our
research projects web page (http://teamcore.usc.edu/Research.htm).",,"Milind Tambe, tambe@USC.edu",http://teamcore.usc.edu/,,"mathematical, computer science, social science",Richard,agents,PhD student position,219,
4/29/2011 17:24:29,Post-doc position at the Faculty of Arts and Social Sciences,The Netherlands,"Department of Political Science, Maastricht University","We are looking for a Post-doctoral candidate who has:
* a PhD in Political Science, from a University in the Netherlands or abroad.
* expertise in comparative politics, political behavior and European politics.
* strong quantitative skills (including time series analysis and longitudinal analysis).
* database management skills a plus.
* excellent written and verbal communication skills in English.  
* evidence of or potential for international excellence in published research.
* willing to contribute proactively to the conduct of the project and is a team-player.","The Post-doctoral position is designed for a scholar who has recently received his or her PhD in order to:
   * Gather qualitative and quantitative data on the preferences of the European electorates, political parties and governments, past election results, and national and European legislative outputs (in cooperation with a computer assistant and student assistants providing language support).
   * Conduct quantitative empirical analysis of political responsiveness across policy areas, countries, levels of governance, and time.
   * Contribute to the joint publications of the project team.
   * Organize and attend meetings, workshops and conferences.
   * Prepare grant applications for new research projects.
   * Contribute to the Faculty's research programme in European Studies.","€ 41.500,00 per year (based on a full-time appointment). ",Secretariat of the Faculty Office: pzfdcwvacatures@maastrichtuniversity.nl,http://www.maastrichtuniversity.nl/fasos,5/23/2011,"mathematical, political science",Richard,POLMETH,Postdoctoral position,219,
4/29/2011 17:27:24,The economics of social interactions: an agent based model approach,"London, UK","London City University - Department Economics, School of Social Sciences","We are seeking exceptional applicants with a strong interest in interdisciplinary research and a Masters degree with distinction (mark of 70%+ or equivalent) in economics, physics or (applied) mathematics.","Applications are invited for a full-time scholarship available in the Economics Department, City University London. The scholarship is tenable for up to 3 years for a PhD (via MPhil route) [subject to satisfactory progress] and is open to UK/EU and international applicants.

Agents typically interact in some space that in many cases can be represented in a discrete way, as a network. The behaviour of agents depends on the geometry of this network and reciprocally the network geometry can be substantially influenced by agents’ behaviour.
In this project we are particularly interested in exploring ABMs to model issues like immigrant assimilation, the intergenerational transmission of cultural traits, segregation, competition among languages or the emergence of linguae francae. Indeed, this type of issues have attracted increasing attention in the economics literature, and the use of ABMs for their study can complement or extend the existing findings, which are largely based on analytically tractable models.",The scholarship will provide an annual stipend of £15000 (for 3 years) and a contribution towards the cost of the tuition fee over 3 years.,"Informal project related enquiries may be directed to Professor Giulia Iori  email g.iori@city.ac.uk

All formal applications will be processed via the relevant university's normal PhD application processes.

Application Forms can be found at: http://www.city.ac.uk/social-sciences/research-across-the-school/phd-programmes",http://www.jobs.ac.uk/job/ACO565/phd-studenship/,,"social science, psychology, political science",Sascha,,PhD student position,219,
5/10/2011 21:18:00,	 Political Networks Post-Doc,Department of Political Science at the Central European University (CEU,"Budapest, Hungary","The candidate is expected to have a PhD or have defended their
dissertation by the beginning of the position. Successful applicant
should have an elaborate research agenda with a focus on network
analysis in the political context.","The candidate will have the option to use datasets available at the center, for example
data on business networks, international trade, or energy delivery infrastructures. In addition to academic research the candidate will be responsible for setting up a website/blog on political network analysis that targets non-academic audience, on issues of political corruption, social movement networks, elite change, political activism online. Finally, the candidate will be responsible for writing grant
applications together with relevant faculty.",,Levente Littvay (CEU) littvayl@ceu-budapest.edu,,5/31/2011 (EXTENDED),rather social science,Richard,SOCNET,Post-doctoral position,220,
5/10/2011 21:25:59,Three Postdoctoral Scholar positions for the Digital Media & Learning Research Hub,UC Irvine campus in Southern California.,University of California Humanities Research Institute,"Candidates should have a Ph.D. in a relevant discipline and research experience with contemporary developments concerning youth, digital media and learning in the US and globally. Preference will be given to candidates with expertise in social network analysis, Internet research, organizational theory and/or experience with ethnographic research with young people. Evidence of collaborative and mixed methods research will also be valued. Travel may be required in this position to perform research and meet with collaborators.","Three Postdoctoral Scholar positions for the Digital Media & Learning Research Hub, at the systemwide University of California Humanities Research Institute, located at the UC Irvine campus in Southern California. The postdoctoral scholars will collaborate in MacArthur Foundation-funded research investigating national and international developments in digital media and learning.","Annual salary ranges from $49,452 to $52,944 depending on experience.",Courtney Santos:  Email: dmlhub@hri.uci.edu,http://dmlcentral.net/jobs/4526,5/31/2011,,Richard,SOCNET,Postdoctoral position,220,
5/13/2011 9:05:04,Lectureship in Political Science (International Relations),Trinity College,University of Dublin,,"The School wishes to make an appointment in the area of international relations. An ability to teach courses in international relations, especially in the Department of Political Science’s Masters in International Politics, is essential. The ideal candidate will have an approach to research that complements the Department of Political Science’s existing strengths in comparative, institutional, and quantitative analysis. Candidates with research interests in any issue-area of international relations (security, interstate conflict, international organisation etc) will be considered.",,Jeffrey R. Weber: WEBERJ@TCD.IE,"Trinity College, University of Dublin",5/18/2011 12:00:00,political science,Richard,POLMETH,Researcher,220,
5/13/2011 9:05:53,Visiting position at Iowa,Department of Political Science,University of Iowa,,"A last minute visitor line for someone who can teach political behavior, public opinion and undergrad methods for next year.  Ph.D. is required and teaching load is two courses per semester. Please contact me as soon as possible if you are interested.
",,Caroline Tolbert (caroline-tolbert@uiowa.edu<mailto:caroline-tolbert@uiowa.edu>),,,political science,Richard,POLMETH,Researcher,220,
5/13/2011 9:09:52,New Position at the National Science Foundation,Political Science Program,National Science Foundation,"We are especially interested in scholars who have research expertise in one or more of the following areas:

- Cybersecurity
- Wireless technologies
- Nanotechnology
- Cyberinfrastructure
- Other topics","The Division of Social and Economic Sciences at the National Science
Foundation is advertising a new position related to a number of
foundation wide initiatives involving cybersecurity and wireless
technology.  We are looking for a candidate who can help in these
initiatives as well as serving as a program officer in either the
Political Science or Sociology Programs.  The position is a rotating
position, which could last as little as one year or as much as three
years.",,"Brian D. Humes, Ph.D.: bhumes@nsf.gov or at 703.292.7284.
",http://jobview.usajobs.gov/GetJob.aspx?OPMControl=2231604,Interviewing starts in early June,"computer science, social science, political science",Richard,POLMETH,Researcher,220,
5/13/2011 9:13:56,Statistician Position at Harvard Business School,"Boston, MA, USA",Harvard Business School,"The ideal candidate is a recently-minted Ph.D. in an applied quantitative social science (poli sci, econ, psych) field. Expertise in R and willingness to learn a variety of statistical/mathematical packages is strongly desirable.",HBS has an opening for a statisitician/analyst. ,,"Adam Ramey,aramey@hbs.edu",http://bit.ly/kuNFNJ or http://bit.ly/kuNFNJ,,"mathematical, psychology, political science",Richard,SOCNET,Researcher,220,
