Timestamp,Conference Title,Short Title,Date,Place,Organisation,Submission Deadline,Registration Deadline,Topics,Website,Editor,Taggs,Other:,Issue,Publication,
4/17/2011 10:16:20,Philosophy of Scientific Experimentation,PSX2,21-22 October 2011,Germany,"Samuel Schindler (chair), Allan Franklin, Deborah Mayo, John D. Norton, Wendy Parker, Slobodan Perovic, Marcel Weber.","2011-06-01 (extended abstracts, 1000 words)",,"Experiments play an essential part in science. Not only are they used to test theories but they are also key to exploring new phenomenological realms, discovering new effects and phenomena. Nevertheless, experiments are still an underrepresented topic in main stream philosophy of science. The PSX workshop series therefore wants to give a home to philosophical interests in and concerns about experiment.",http://www.uni-konstanz.de/FuF/Philo/Philosophie/philosophie/329-1-PSX2.html,Richard,,,218,,
4/17/2011 10:24:28,"Coordination, Organizations, Institutions and Norms in Agent Systems",COIN WI-IAT'11,8/22/2011,"Campus Scientifique de la Doua, Lyon, France",,2011-04-29 (EXTENDED),,"Of particular interest are those papers reporting on challenging or innovative views on issues within the workshop themes, papers proposing new ideas, and position papers. Topics of interest include, but are not limited to:
- formal methods, logics, languages and tools for the specification, verification, implementation and simulation of norms, coordination, organizational structures and institutions;
- law of open distributed systems: regulatory compliance;
- agent societies, social networks, electronic institutions and virtual organizations;
- formation, maintenance, evolution and dissolution of organizations,institutions and normative multi-agent systems;
- autonomic institutions and self-organization in multi-agent systems;
- frameworks and protocols for organized and organizational adaptation;
- mechanisms for flexible and adaptive governance in service-oriented applications;
- discovery, openness and inter-operation in organizations and institutions;
- mixed human-agent coordination and institutions in virtual worlds; participatory simulation;
- reports on implemented systems",http://mmi.tudelft.nl/coin-wi-iat2011/,Richard,,,218,,
4/17/2011 10:31:52,User Models for Motivational Systems: the affective and the rational routes to persuasion,,11-15 July,"Girona, Spain",,2011-04-29 (EXTENDED),,"Recent years have witnessed the growth of three parallel strands of research, all directing towards a more complex cognitive model of rational and extra-rational features, involving emotions, persuasion, motivation and argumentation.

On one side, Persuasive Technology is emerging as a very strong research field, interested in the use of interactive systems to influence human thought and behavior. The international Persuasive conference is now well established at its 6th edition, and a series of other small events, like the Persuasive Technology Symposia (with AISB in 2008 and 2009), and workshops about persuasive technology at AmI2009 and Measuring Behavior 2010 confirm the importance of the field in the research landscape.",http://www.csc.liv.ac.uk/~floriana/UM4Motivation2/Home.html,Richard,,,218,,
4/17/2011 11:20:05,Culturally Motivated Virtual Characters,CMVC 2011,9/14/2011,Iceland,"Asad Nazir, Sandy Louchart, Visage Group, School of Mathematical and Computer Science, Heriot-Watt University Edinburgh, EH14 4AS",2011-06-01 (long 6-8 pages and short papers 3-4 pages).,,"In present day world, there is an increased interaction between people belonging to different cultures. On one hand these encounters can be useful for bringing cultures closer, but also have the potential of causing unfortunate misunderstandings, which can escalate to all out conflicts.  Hofstede defines culture as “forms of things in mind and their mental models of perceiving and interpreting them”, Virtual characters can be used to enhance cultural understanding by making them culturally aware, In order to do this we can promote cultural influence to cognitive processes of perception, planning and the ability to react in a virtual world. In doing so the relationship between emotions and cultures is of significant importance. Theories related to emotional modulation, cultural differences and personality become the basis of modelling such virtual characters. This gives rise to number of issues to be looked at, e.g. how to model intelligent virtual characters so that they are culturally aware, making the interaction with these characters culturally motivated and to evaluate  what are the effects of using cultures in virtual characters.",http://www.macs.hw.ac.uk/cmvc/,Richard,,,218,,
4/17/2011 11:23:19,Innovative Techniques and Applications of Artificial Intelligence,AI-2011,"13-15 December, 2011","Cambridge, England",SGAI,2011-05-31 (paper/poster),,The scope of the conference comprises the whole range of AI technologies and application areas. AI-2011 reviews recent technical advances in AI technologies and shows how these advances have been applied to solve business problems. ,http://www.bcs-sgai.org/ai2011/,Richard,,,218,,
4/17/2011 11:29:07,SAT for Practical Applications,SPA 2011,6/23/2011,"Ann Arbor, MI, USA","Carsten Sinz, Karlsruhe Institute of Technology and Olga Tveretina, Karlsruhe Institute of Technology",2011-04-22 (abstract),,"Ontology Engineering. Ontology engineers are not supposed to succeed right from the beginning when (individually or collaboratively) developing and maintaining an ontology. Despite their expertise and any assistance from domain experts, revision cycles are the rule. Research on the automation of the process of engineering an ontology has improved efficiency and reduced the introduction of unintended meanings by means of interactive ontology editors that provide support for ontology change (debugging, updates and repair) and maintenance (versioning). Moreover, ontology matching has studied the process of manual, off-line alignment of two or more known ontologies.",http://baldur.ira.uka.de/~olga/Site/SPA2011/,Richard,,,218,,
4/17/2011 11:33:47,Australasian Association of Logic,AAL2011,14-15 December 2011,"Wellington, New Zealand","Arai Toshiyasu, Byunghan Kim, Qi Feng, Sergei S. Goncharov, Greg Restall, Rod Downey, T.Arai, Yang Yue",2011-09-30,,"This is the most important logic meeting in Asia, and is now one of the two biggest logic meetings in the world outside of North America, the other being the European Logic Colloquium.",http://msor.victoria.ac.nz/Events/ALC2011/WebHome,Richard,,,218,,
4/17/2011 11:42:08,Special Issue on Reasoning with context,,15/06/2011,Online,,2011-06-15 (25 pages),,"This special issue aims at bringing together work on reasoning with context in the Semantic Web from the integration, development and evolutionary perspectives described above. Submitted articles, which may describe either theoretical results or applications, must clearly pertain to the Semantic
Web and/or to semantic technologies. They should  present either Semantic Web specific approaches to reasoning with context, or approaches that have characteristics that are interesting for the Semantic Web (e.g., scalability, bounded reasoning), or approaches that are of value to a larger
community containing a non-trivial Semantic Web sub-community (e.g.revision/update techniques and error pin-pointing).",http://ees.elsevier.com/jws,Richard,,,218,,
4/17/2011 11:49:16,"Special Issue on ""Integrating Computation and Cognition on Biological Grounds""",,June 2012,N/A,,2011-05-16 (full paper),,"Spurred by the advancement in synthetic biology (Gibson et al., 2010) at the J. Craig Venter Research Institute the editors of Cognitive Computation Journal (Springer Science) invite submissions to a special issue on biological substrates as a computational diaphragm.

This topic leads to further research questions on computation and the bio-signals produced by living organisms. We anticipate submissions will contribute to the identification of a new breed of technologies:

1.) bio- computing applications (synthetic biology);
2.) chemical/microbial induced biological configurations;
3.) enhancing cognition and animal models; and
4.) neuroengineering sensory circuits

and clinical/biomedical research. This special issue will provide a forum for interdisciplinary discussion that points towards the next step in cognition and computing through the excitability of biological substrates.",http://www.editorialmanager.com/cogn/,Richard,,,218,,
4/17/2011 11:53:16,"""From Natural Computing to Self-organizing Intelligent Complex Systems""",,N/A,Special Issue,Information Resources Management Association,2011-05-19,,"From a practical perspective, an essential research direction is represented by the development of highly complex systems (usually agent-based) that intelligently solve problems of very high difficulty. We consider complex systems composed from a large number of components (agents) capable
to make specialized computations in the problem space. Such developments are usually composed of a very large number of computational components, who interact many times nonlinearly, forming as a whole a complex problem solving system. A subclass of complex systems includes the hybrid systems
composed from different type of artificial components capable to make computations, and human specialists that could interact in different points of decisions during the problems solving.
Research related to complex systems address analysis of many aspects such as complexity, self-organization, emergence, intelligence, hybridization and so forth. Many computational complex  systems developments require interdisciplinary approaches, which must include methods developed in different sciences, like sub-domains of the Artificial Intelligence like Natural Computing and
Intelligent Agents.",http://www.igi-global.com/bookstore/titledetails.aspx?TitleId=1100,Richard,,,218,,
4/17/2011 11:55:50,Call for Nominations: E. W. Beth Dissertation Award,,N/A,N/A,,2011-05-08,,"Since 2002, FoLLI (the Association for Logic, Language, and Information,
http://www.folli.org) awards the E.W. Beth Dissertation Prize to outstanding dissertations in the fields of Logic, Language, and Information. We invite submissions for the best dissertation which resulted in a Ph.D. degree in the year 2010. The dissertations will be judged on technical depth and strength, originality, and impact made in at least two of three fields of Logic, Language,
and Computation. Interdisciplinarity is an important feature of the theses competing for the E. W. Beth Dissertation Prize.
",http://www.folli.org/,Richard,,,218,,
4/17/2011 14:08:25,8th Panhellenic Logic Symposium,PLS8,"July 4-8, 2011","Greece, Department of Computer Science at the University of Ioannina",,2011-05-29,,"The Panhellenic Logic Symposium, a biennial scientific event established in 1997, aims to promote interaction and cross-fertilization among different areas of logic. Originally conceived as a way of bringing together the many logicians of Hellenic descent throughout the world, it has evolved into an international forum for the communication of state-of-the-art advances in logic. The symposium is open to researchers worldwide who work in logic broadly conceived. The Eighth Panhellenic Logic Symposium will be hosted by the Department of Computer Science at the University of Ioannina.",http://www.cs.uoi.gr/~pls8/,Richard,,,218,,
4/17/2011 15:50:30,Quantum Physics meets TARK,,Friday July 15,Groningen,University of Groningen,2011-05-04,,"Topics of interest include but are not limited to:
- classical correlations versus quantum correlations;
- classical games versus quantum games;
- classical information flow versus quantum information flow;
- logical methods for quantum computation;
- quantum logic and its relation to logics of knowledge and action;
- the use of quantum methods and concepts in decision theory, game theory and logic; game-theoretical logical semantics and foundations of quantum mechanics.
",http://www.ai.rug.nl/conf/quantumTARK/,Richard,,,218,,
4/17/2011 17:13:45,Emerging Network Intelligence,EMERGING 2011,20-25 Nov 2011,Portugal,,2011-06-20,,"Next-generation large distributed networks and systems require substantial reconsideration of exiting 'de facto' approaches and mechanisms to sustain an increasing demand on speed, scale, bandwidth, topology and flow changes, user complex behavior, security threats, and service and user ubiquity. As a result,
growing research and industrial forces are focusing on new approaches for advanced communications considering new devices and protocols, advanced discovery mechanisms, and programmability techniques to express, measure
and control the service quality, security, environmental and user requirements.",petre@iaria.org,Richard,,,218,,
4/17/2011 17:19:31,International Conference on Social Robotics,ICSR 2011,November 24-25,"Amsterdam, The Netherlands",,2011-06-01,,"The theme of the 2011 conference is ""Alive!"" It expresses the vitality of the social robotics research, paying particular attention to the development of robots that appear increasingly social -- the point that people perceive them to be alive. The conference aims to foster discussion on the development of computational models, robotic embodiments, and behavior that enable robots to act socially and the impact that social robots have on people and their social and physical environment.",http://www.icsr2011.org/index.html,Richard,,,218,,
4/17/2011 17:52:37,Thematic Track on Social Simulation and Modelling (SSM),SSM 2011 @ EPIA 2011,10-13/October/2011,"Lisbon, Portugal",,2011-05-10,,"General issues:
- Agent and environment modelling
- Standards for simulators including inter-operability
- Self-organisation, scalability, robustness in SS
- Policy applications
- SS applications
- Methodologies and techniques that link MAS and ABM works
MAS issues:
- Grid-computing for SS
- Visualisation and analytic tools
- Managing interactions in large-scale systems
- Simulation languages and formalisms
- Complexity
ABM issues:
- Formal and agent-based models of social behaviour and social order
- Social structures and norms
- Cognitive modelling and social simulation
- The emergence of co-operation and co-ordinated action
- Agent-based experimental economics
- Empirically-based agent-based modeling",http://epia2011.appia.pt/,Richard,,,218,,
4/17/2011 17:54:48,Swarmfest 2011,,Sunday June 26 to Tuesday June 28,"Santa Fe Complex (sfcomplex.org) in Santa Fe, New Mexico",Swarm,2011-05-03,,"Swarmfest is the annual meeting of the Swarm Development Group, and represents an opportunity for individuals engaged in agent-based modeling and complex systems analysis to present their work and engage in lively discussions with others with diverse, but similar, interests. We encourage the presentation of domain-specific models (a non-comprehensive list includes: ecology, social science, biomedicine, politics, political science and economics), more general practical and theoretical issues associated with agent-based modeling (a non-comprehensive list includes: methods, toolkits, computing platforms and means of analysis) and more general issues associated with investigating “complex systems” (you can define “complexity” you wish and we can all fight about it!). Swarmfest has traditionally had a workshop atmosphere where discussion and interactions are greatly encouraged, and as a result has been a very nice opportunity to “pre-release” preliminary research, present research-in-evolution to achieve feedback, and serve as a sounding board for all those “out-there” ideas that you don’t feel comfortable disclosing in your traditional scientific/professional societies.",http://www.swarm.org/index.php/Swarmfest_2011_Page,Richard,,,218,,
4/17/2011 17:57:30,	Annual conference of the Computational Social Science Society of America,CSSSA 2011,"October 9-12, 2011","Santa Fe, NM, USA",,2011-06-01,,"Papers and presentations can cover a wide range of research topics, including:
- Social networks and their dynamics
- Information and opinion dynamics
- Trust, reputation and norm dynamics
- Conflict and cooperation
- Social-ecological systems
- Collective behavior
- Agent-based computational economics
- Cultural dynamics
- Market dynamics and consumer behavior
- Innovation diffusion
- Empirically grounded agent-based modeling
- Model replication and validation
- Agent-based modeling platforms
- Participatory modeling and simulation",http://computationalsocialscience.org/17-2,Richard,,,218,,
4/17/2011 18:11:22,ESSA 2011 Conference: Special Session on Social Conflict and Social Simulation,,"September 19-23, 2011","Montpellier, France",ESSA,2011-04-29,,"Since 2008 a tradition of panels at the ESSA conferences addressing the topic of Social Conflict and Social Simulationhas been established by the Special Interest Group on Social Conflict and Social Simulation (SIG-SCSS) of the ESSA. The notion of social conflict entails a broad range of phenomena, such as latent confrontation as well as manifest war. Its scope ranges from inter-individual to international relations. Viewed in this broad sense, conflicts are an essential and inevitable component of social relationships. A scientific comprehension of these various dimensions of social conflicts includes disciplinary accounts ranging from social psychology to the theory of international relations. To bring together scholars working in these various dimensions of Social Conflict and Social Simulation, we invite authors from all backgrounds to submit papers for a SIG-SCSS panel at the ESSA 2011 conference. Papers aimed at reflecting on all aspects of Social Conflict and Social Simulation are welcome.",For further details please visit http://www.essa2011.org/specific_sessions and http://www.essa2011.org/submission.,Richard,,,218,,
4/18/2011 10:20:57,Computational Finance and Microstructure Models @ Modeling High Frequency Data in Finance 3 Conference,-,"July 27 - 31, 2011","Stevens Institute of Technology, Hoboken, NJ",Center for Decision Technologies at Stevens,2011-05-01 ((short) draft paper),,"The Center invites researchers interested to present and discuss their work using
computational intense methods to either analyze market activity or construct trading systems. This special session puts emphasis on microstructure models. Machine learning methods, time series methods, complex systems, and agent-based models might be applied. In addition, we are particularly interested in methods that model trading behavior using social network analysis techniques, applied to the interactions between traders, human and machine. Models that address the cognitive aspects of tradersâ€™ decision making are also encouraged. Such work might analyze the shape and content of social media that bear on market transactions, and might propose new indicators of systemic risk.",http://kolmogorov.math.stevens.edu/conference2011/index.php/registration-and-support,Sascha,Market Dynamics,,218,,
4/18/2011 10:28:51,	  PhD ’Research In Progress’ Workshop: From Lab To Society - Opportunities In Complexity,-,"September 14th, 2011","Wien, Austria",European Conference on Complex Systems,2011-05-15 (300 word abstract),,"The premise of the satellite meeting is to give MSc and PhD students studying within the domain of complex systems science a platform to present their research question, approach and results at an early point in their research career to an interdisciplinary and supportive group.

This year’s topic: FROM LAB TO SOCIETY, is meant to challenge the future young researchers to try elucidating how their own research will affect society as a whole within 5-10 years and how their complex systems approach may help structure our society for the better.",http://cssociety.org/phdvienna2011,Sascha,,,218,,
4/18/2011 10:44:02,International Journal of Agent Technologies and Systems,IJATS,-,-,,Journal,,"IJATS covers conceptual frameworks, case studies, empirical analysis, 
analytical and simulation models of agent anthropologies and sociologies, 
and their application.
Topics among others:
*Simulations and constructions of agents
   . Agent-based modeling and simulation, tools, and cases
   . Agent-based social simulations
   . Emergent behavior in agents and agent societies
   . Multi robot systems
   . Robot teams",www.igi-global.com/ijats,Sascha,"ABM technical, ABM methodical",,218,,
4/18/2011 10:48:21,5th International Workshop on Multi-Agent Systems and Simulation,MAS&S 2011,"Sept. 19-21, 2011","Szczecin, Poland",JAWS 2011 (Joint Agent-oriented Workshops in Synergy),2011-05-31 (paper),,"* Agent-based simulation techniques and methodologies
* Discrete-event simulation of Multi-Agent Systems
* Simulation as validation tool for the development process of MAS
* Agent-oriented methodologies incorporating simulation tools
* MAS simulation driven by formal models
* MAS simulation toolkits and frameworks
* Testing vs. simulation of MAS
* Industrial case studies based on MAS and simulation/testing
* Agent-based Modeling and Simulation (ABMS)
* Agent Computational Economics (ACE)
* Agent Computational Finance (ACF)
* Agent-based simulation of networked systems
* Scalability in agent-based simulation
",http://www.mass.fedcsis.org/,Sascha,"Market Dynamics, ABM technical, ABM methodical",,218,,
4/18/2011 10:52:03,Ninth German Conference on Multi-Agent System Technologies,MATES 2011,"October 6-7, 2011","Berlin, Germany",,2011-04-28 (abstracts) 2011-05-02 (papers) [EXTENDED!],,"MATES 2011 welcomes contributions from the field of agent-oriented computing and agent technologies. We solicit both basic as well as applied research papers on recent advances in the area of intelligent agents and multi-agent systems in general. Also papers reporting on the successful application of agent technologies in any kind of domain are very welcome. MATES 2011 encourages especially submissions from recent and emerging areas of interest such as Autonomic Computing, Self-organisation, and Agreement Technologies. Additionally, we encourage the submission of elaborated vision and challenge papers that discuss mid-term and long-term directions for research and application.",http://www.ia.urjc.es/mates2011,Sascha,"ABM technical, ABM methodical",,218,,
4/18/2011 10:56:29,IEEE CEC’2011 Workshop on Agent-Based Computational Economics and Finance,,TBD (between June 5-8),New Orleans,Computational Finance and Economics TC,2011-05-15,,"This half-day workshop, organized by the Computational Finance and Economics TC, gives participants the opportunity to present work in any stage of development in order to get feedback and discuss ideas and topics, bringing together researchers and practitioners (both presenter and non-presenter) from diverse fields, such as computer science, economics, finance, physics, sociology, psychology, and complex theory. Topics include (but are not limited to): Agent-based Computational Economics, Agent-based Computational Finance, Automated Markets and Trading Agents, Design of Economic Systems, Emergence and Complexity, Emergence and Dynamics of Norms and Conventions Financial Market and Organization Models, Epistemology and Agent-Based Methodological Issues, Network and Social Dynamics.",http://www.aiecon.org/conference/CEC_2011_ACE_CFP.html,Sascha,Market Dynamics,,218,,
4/18/2011 11:12:00,"Cultural and opinion dynamics: Modeling, Experiments and Challenges for the future",-,12-16 September 2011,"Vienna, Austria",ECCS 2011 Satellite,2011-04-25 (15 pages paper),,"Problem Solving and Communication for Agents. Agents that communicate with one another without having full access to their respective ontologies or that are programmed to face new non-classifiable situations must change their own ontology dynamically at run-time -- they cannot rely solely on human intervention. Research on this problem has either concentrated on techniques borrowed from the non-monotonic reasoning and belief revision communities or on changes of signature, i.e., of the grammar of the ontology's language, with a minimal disruption to the original theory. This is also an important issue in the emerging area of General Game Playing.",http://www.fundp.ac.be/en/sci/naxys/eccs2011,Sascha,Social Transition,,218,,
4/20/2011 11:30:07,V International Workshop on Nature Inspired Cooperative Strategies for Optimization,NICSO 2011,October 20-22,"Cluj-Napoca, Romania",,2011-05-02 (EXTENDED),,"NICSO 2011 is the fifth edition of the International Workshop on Nature
Inspired Cooperative Strategies for Optimization and aims at promoting
deeper investigations on cooperative problem solving strategies and bringing
together international researchers and practitioners from different
disciplines to exchange ideas about emerging new research areas. Biological
and other natural processes have always been a source of inspiration for
computer science and information technology. We seek contributions that are
inspired by Nature and that encompass a range of spatio-temporal scales, for
visionary conceptions of information processing and computation as
pertaining to cooperation mechanisms in the context of problem solving.",http://www.nicso2011.org/,Richard,ABM methodical,,218,,
4/20/2011 12:09:08,Special issue on Conceptual frameworks for Multimodal Social Signal Processing,,15th May 2011,Online,The Journal on Multimodal User,2011-05-15 (full paper),,"This special issue will address the rapidly emerging field of social signal processing, which covers both recognition and interpretation of social signals, and synthesis of social signals. Specifically, it will consider the relationship between technical research in those areas and the conceptual resources that underpin it, involving various traditions in the human sciences (including psychology, anthropology, linguistics, sociology, etc.). The goal is to help technical research to make effective use of the understanding of social signals that already exists, and to avoid pitfalls created by simplistic views of the phenomena.",http://www.jmui.org/,Richard,"Policy, Social Transition",,218,,
4/20/2011 12:15:57,"Standards in Emotion Modeling, 2011",SEM2011,"15-19 August, 2011","Lorentz Center, Leiden, The Netherlands",Lorentz Center,2011-05-15 (full paper),,"We are proud to announce the 1st workshop on Standards in Emotion 
Modeling. This workshop focuses on the core of computational modeling of 
emotion, including emotion generation (causal factors), and the effects 
of emotion on cognition. The primary aim of the workshop is to emphasize 
the interplay between emotion psychology and computational modeling. Its 
focus is on:
1. validating computational models of emotion with respect to their 
underlying psychological theory of emotion, and,
2. comparing computational models of emotion to facilitate sharing 
results and working towards generic computational mechanisms of emotion.
",http://www.sem2011.org/,Richard,ABM methodical,,218,,
4/22/2011 10:33:33,11th Prague Topological Symposium,TOPOSYM 2011,7-13 Aug 2011,"Prague, Czech",The Center for Theoretical Study and the Mathematical Institute of the Czech Academy of Sciences,2011-05-31 (abstract),,"11th Topological Symposium, International Conference on General Topology and its Relations to Modern Analysis and Algebra. This year we are excited to celebrate a 50 years anniversary. It is now half a century during which the Topological Symposium brought together mathematicians from diverse areas of topology.",http://www.toposym.cz/,Richard,,Included because celebrating 50 years anniversary.,219,,
4/22/2011 10:44:41,"The Second International Conference on Computational Logics, Algebras, Programming, Tools, and Benchmarking",COMPUTATION TOOLS 2011,"September 25-30, 2011","Rome, Italy",IARIA,"2011-05-06 (EXTENDED; full paper, WIP short paper, poster)",,"The topics suggested by the conference can be discussed in term of concepts, state of the art, research, standards, implementations, running experiments, applications, and industrial case studies. Authors are invited to submit complete unpublished papers, which are not under review in any other conference or journal in the following, but not limited to, topic areas. All tracks are open to both research and industry contributions, in terms of Regular papers, Posters, Work in progress, Technical/marketing/business presentations, Demos, Tutorials, and Panels.",http://www.iaria.org/conferences2011/COMPUTATIONTOOLS11.html,Richard,"ABM methodical, ABM technical",,219,,
4/22/2011 10:50:42,Women in Computing Research - 2011 London Hopper Colloquium,,"Tuesday, 24 May 2011","BCS, London","Queen Mary, University of London",2011-05-24,,"Queen Mary, University of London is pleased to announce the 7th London Hopper Colloquium to be held on Tuesday, 24 May 2011 at the London headquarters of BCS, The Chartered Institute for IT. This 1-day event will feature a diverse group of women speakers talking about their research, and will enable new researchers to meet with each other and exchange ideas, form collaborations and become aware of the network of women conducting research in computing. Talks are aimed at Masters level up and will show the exciting research carried out by women, at all stages of their career, and from diverse backgrounds.",http://www.dcs.qmul.ac.uk/women/LondonHopper2011.php,Richard,"Policy, Reputation",,219,,
4/22/2011 10:53:43,International Conference on Social Robotics,ICSR 2011,November 24-25 2011,The Netherlands,,2011-06-01,,"The International Conference on Social Robotics brings researchers and practitioners together to report on and discuss the state-of-the-art research in the field of social robotics. The conference focuses particularly on social interaction between humans and robots, the integration of robots into our society, and the design of next generation social robot interfaces and systems.
",http://www.icsr2011.org/,Richard,,,219,,
4/22/2011 11:00:54,15th Portuguese Conference on Artificial Intelligence,EPIA 2011,"October 10-13, 2011","Lisbon, Portugal",,"2011-05-10 (full paper, 15 pages)",,"EPIA 2011 will include a thematic track on General Artificial Intelligence, which is focused on general methodologies and architectures for intelligent systems but will also accept submissions on ALL subareas of artificial intelligence not covered by the other thematic tracks. Of particular relevance to this track are papers on issues that arise in the design and construction of complex artificial intelligent agents, integrating such component technologies as planning and scheduling; knowledge representation and reasoning; language, dialogue, perception; goal-driven action; machine learning; constraints, satisfiability and search; and Web and Knowledge-based Information Systems.",,Richard,"ABM methodical, ABM technical",,219,,
4/23/2011 18:56:48,The Third International Conference on Advances in System Simulation ,SIMUL 2011 ,"October 23-28, 2011 ","Barcelona, Spain ","Sponsored by IARIA, www.iaria.org ",2011-05-20,,"-Simulation models
-Simulation methodologies
-Sensitivity analysis
-Simulation mechanisms
-Model based system quality prediction
-Distributed simulation
-Human-in simulation
-Simulations in advanced environments
-Practical applications on process simulations
-Case studies on social simulation
-Online social simulation
-Building simulation
-Transport simulation
-Warfare simulation
-Simulation tools and platforms
-Experience report on ready-to-use tools",http://www.iaria.org/conferences2011/SIMUL11.html ,Other,,shah jamal alam ,219,,
