Timestamp,Title,Short Title,Date,Place,Organisation,Topics,Website,Editor,Taggs,Other,Registration Deadline,Issue
4/17/2011 1:28:37,Workshop on Information and Decision in Social Networks,WIDS,"May 31 - June 1, 2011 ","MIT (Cambridge, MA)",,"Attendance to the workshop is free of charge but, due to limited seating, registration is required. Please go to http://wids.lids.mit.edu/reg.html to register. Registrations will be processed on a first-come first-served basis.",http://wids.lids.mit.edu/,Richard,,,,218
4/18/2011 11:33:15,Zurich Initiative on Computational Economics,ZICE11,"September 3 to September 11, 2011","Zurich, Switzerland",Zurich Center for Computational Financial Economics (ZCCFE),"ZICE11 will be a summer program for young scholars interested in applying
computational methods to economics. Participants will work on group assignments to facilitate the learning of numerical methods and will be able to speak with the lecturers about their own work during “office hours”.
Summer initiative activities will begin with formal lectures on a range of
topics - numerical optimization, dynamic programming, solution methods for
dynamic economic models, and computationally intensive methods in statistics
- followed by tutorials that familiarize participants with computer software
applied to economic models.
No fee, free housing.

",http://www.zccfe.uzh.ch/,Sascha,Market Dynamics,,,218
4/26/2011 13:16:17,Summer School on ABMS in NRM,,September 5-16 2011,Montpellier,Cormas/Cirad,"During the morning sessions, the principles, methods and technics of the design, implementation and exploration stages will be collectively taught. An existing and well-documented model will be replicated as a practical exercise. Specific points will be addressed according to the expectations and demands of the participants.

The afternoon sessions will be devoted to personal applications: the trainers will support the participants in designing and fine-tuning their own agent-based model. ",http://cormas.cirad.fr/en/formati/september2011.htm,Sascha,"ABM technical, ABM methodical",,,219
4/29/2011 15:57:49,IEEE International Symposium on Policies for Distributed Systems and Networks,POLICY 2011,"6-8 June, 2011","Pisa, Italy",,"The symposium brings together researchers and practitioners working on policy-based systems across a wide range of application domains including policy-based networking, privacy, trust and security management, autonomic computing, pervasive systems and enterprise systems. POLICY 2011 is the 12th in a series of successful events, which have provided a forum for discussion and collaboration between researchers, developers and users of policy-based systems.",http://ieee-policy.org/,Richard,Policy,agents,2011-05-15 (early),219
4/29/2011 16:07:39,The 8th IEEE International Conference on Autonomic Computing,ICAC 2011,"June 14-18, 2011 ","Karlsruhe, Germany",IEEE,"ICAC is the leading conference on autonomic computing applications, technology and foundations. Autonomic computing refers to methods and means for reducing the human burden of managing computing systems. Systems introducing new autonomic features are becoming increasingly prevalent, motivating research that spans a variety of areas, from computer systems, architecture, databases and networks to machine learning, control theory, and bio-inspired computing.",http://icac2011.cis.fiu.edu/,Richard,ABM technical,agents,2011-05-1 (early),219
5/11/2011 17:33:09,Course Announcement: Agent-Based Modelling,,July 5th to July 28th 2011,"Sydney, Australia",University of Sydney Business School,"Intensive research course in Agent-Based Modelling (ABM) for marketing and business researchers and higher degree research students.

The basic aim of the course is to train researchers to be able to implement their own simulations using NetLogo. As you may be aware there is a lack of high level programming training in most business schools and as a result both students and faculty lack the necessary programming skills to develop ABM relevant to their research interests.  They are left to only dream or work with programmers with limited domain knowledge and insight. NetLogo is a freely available platform that was initially developed for primary school kids - so academics and research students should be able to learn it!",http://abmsydney.myreviewroom.com/,Sascha,"ABM technical, ABM methodical",,,220
5/11/2011 17:37:02,Simulating Innovation Workshop,,24th June 2011 10AM - 5PM,University of Leicester,SIMIAN,"A workshop on the use of simulation models in innovation studies:
How can computer simulations provide insight into the processes of innovation generation, diffusion and impact? What are the prospects for simulation models influencing R&D policy in science and industry? As part of the ESRC-funded SIMIAN project, the Universities of Surrey and Leicester are organising a one-day workshop in Leicester. This event will bring together academics with experience in agent-based models of technological evolution, knowledge dynamics and innovation networks, including modelling projects that have addressed real policy issues. It will be of interest to those working in innovation studies, evolutionary economics, R&D policy, and science and technology studies, as well as those interested in relating these areas to their own. It will also provide examples of the design and application of agent-based simulation models.
For more details contact: Christopher Watts:  c.watts@surrey.ac.uk  ",http://www.simian.ac.uk/courses ,Sascha,Market Dynamics,,,220
5/13/2011 9:36:30,13th European Agent Systems  Summer School,EASSS,"11-15 July, 2011","Girona, Catalonia, Spain",European Association for Multiagent Systems (www.euramas.org),"This is the list of the tutorials that will be offered in this year's edition of EASSS:
1. Introduction to Autonomous Agents and Multiagent Systems
2. Agents in Organizations: Autonomy, Regulation and Interaction
3. Logics of Action and Agency
4. Dialectics in Multiagent Interaction
5. Argumentation for Agent Societies
6. Stability in Systems with Self-Interested Agents
7. Multiagent Constraint Programming
8. Temporal Constraint Methods for Autonomous Scheduling
9. Agent-Oriented Programming Languages
10. Organisation and Environment Oriented Programming
11. Agent-Based Social Simulation
12. Robots in Multiagent Systems Research
13. Coordination of Multi-Robot Teams
14. Agent Technologies for Energy Systems
15. Towards Industrial Application of Multiagent Systems",http://eia.udg.edu/easss2011/,Richard,"ABM technical, ABM methodical",agents,,220
5/13/2011 11:29:26,"5th Annual French Complex Systems Summer School ""Complex Systems and Complex Networks""",CSSS2011,"July 4th to 16th, 2011",Paris. France,Complex Systems Institute Paris Île-de-France (ISC-PIF),"The school will provide in-depth reference courses to a multi-disciplinary audience of researchers and students. The level of lectures will range from introductory to advanced, as attendees are not expected to be familiar with all the fields covered. Lecture topics will address specific complex systems methods and tools and their relevance to various disciplines (physics, biology, computer science, geography, sociology, linguistic, etc.). An emphasis will be given to complex networks both as objects of study and as a framework for modeling social and natural phenomena.",http://iscpif.fr/CSSS2011,Sascha,"Social Networks, ABM methodical",MA-Space,2011-05-31,220
5/16/2011 9:56:09,Summer School: Computational Social Science: Text and Decisions,,"July 16 - July 23, 2011","Lipari Island, Italy",Logo Lipari School on Computational Social Science ,"The recent growth of socially interesting data logs generated by modern media usage could hardly be overlooked by social scientists. However, traditional social scientists’ analytical techniques cannot cope with databases of such large size. The fledging interdisciplinary field of Computational Social Science (CSS) includes automated information extraction as one of its foci. CSS lies at the intersection of social science, computational science, and complexity science. The new Lipari School on Computational Social Science will address this topic through seminar sessions by world-class researchers in the field. The “Text and Decisions” theme of this 2011 edition will focus on text and data mining techniques to support decision processes in the realm of social science. ",http://lipari.cs.unict.it/LipariSchool/ComputationalSocialScience/index.php,Sascha,,,2011-05-29,221
5/26/2011 17:55:44,Computational Social Science I-II,,2011-07-31,"San Jose, California, USA",2011 International Joint Conference on Neural Networks,"I: SOCIODYNAMICS: FROM CONCEPTS TO DATA AND BACK
II: SOCIAL SYSTEMS AS COMPLEX INTERACTIVE NETWORKS",http://cneuro.rmki.kfki.hu/events/ijcnn11,Sascha,Social Networks,,,221
5/26/2011 18:03:07,Courses in Applied Social Surveys,CASS,-,GB,,"CASS is a programme of short courses covering topics in survey design, data collection and data analysis methods. Courses are aimed at academic social scientists and applied researchers in government, market research and the independent and voluntary sectors. Teaching is interactive and responsive to course participants' needs. All courses include practical sessions or computer workshops to enable participants to put the learned methods into practice.",www.southampton.ac.uk/cass,Sascha,,,,221
6/10/2011 0:27:47,"Workshop on Knowledge Discovery, Modeling, and Simulation",KDMS-2011,2011-08-21,"San Diego, CA",,"Knowledge discovery (KD) uncovers patterns and relationships within data. These patterns and relationships can, in turn, be used to create models of data. Simulations based on these models then can be used to generate data and start the cycle anew. Modeling and simulation (M&S) can benefit from KD by providing a means to evaluate the realism, novelty, interestingness, and utility of the created model. KD can benefit M&S by providing a means to understand the large amount of data generated by simulations. Recent developments in the ability to mine complex, highly-structured data of the form typically produced by large scale simulations may provide opportunities for useful knowledge discovery of simulation outputs. Specific objectives are to identify:
-- How knowledge discovery can produce patterns that can be useful in the development of models; 
-- How to effectively and usefully mine the results of large numbers of potentially complex simulations created by executing models; and 
-- Other potential synergies that may result from “closing the loop” between KD and M&S.",http://discoveryandmodeling.org,Sascha,,,,222
6/17/2011 10:18:38,Game Theory and Society: Models of Social Interaction in Sociological Research,,"July 27-30, 2011",Zürich/Switzerland),ETH Zürich,"The aim of the conference is to explore the potential of game theory for sociological theory and its application to sociological research broadly considered. For this purpose the conference brings together scholars with different disciplinary backgrounds to focus on topics of game theory relevant to sociology and society at large.
",http://www.socio.ethz.ch/workshop2011,Sascha,"Policy, Societal Transition, Complex Systems",,,223
7/7/2011 19:02:13,European Conference on Artificial Life,ECAL'11,8-12 August 2011,"Paris, France",,"ECAL'11 will leverage the remarkable development of biological modeling and extend the topics of Artificial Life to the fundamental properties of living organisms: their multiscale pattern-forming morphodynamics, their autopoiesis, robustness, capacity to self-repair, cognitive capacities, and co-adaptation at all levels, including ecological ones. ECAL'11 will bring together a large interdisciplinary community of biologists, computer scientists, physicists, and mathematicians. It will invite them to reflect on how traditional boundaries between disciplines have become blurred, and to revisit in depth what constitutes ""life"". 72 TALKS (IN 9 SESSIONS OF 2 PARALLEL TRACKS EACH):
* Agents: Mind, motion and evolution
* Autopoietic Systems
* Biochemical Modeling
* Cellular & Biochemical Networks
* Complex Networks
* Complexity
* Ecological Modeling
* Evolution & Games
* Evolutionary Robotics
* Language Evolution
* Morphologies & Development (1,2)
* Robot Control
* Robotics 
* Selection Dynamics
* Swarms
* Systems Biology
* Towards Artificial Agency and Cognition",http://ecal11.org,Sascha,Complex Systems,,2011-07-23 (better rates),224
7/8/2011 9:32:02,Open Source Indicators (OSI) Program Proposers' Day,IARPA-BAA-11-11,8/3/2011,"Washington, DC, USA",Intelligence Advanced Research Projects Activity (IARPA),"The Intelligence Advanced Research Projects Activity (IARPA) will host a Proposers' Day Conference for the Open Source Indicators (OSI) Program on August 3, 2011, in anticipation of the release of a new solicitation in support of the program. The Conference will be held from 8:30 AM to 4:00 PM in the Washington, DC metropolitan area. The purpose of the conference will be to provide introductory information on OSI and the research problems that the program aims to address, to respond to questions from potential proposers, and to provide a forum for potential proposers to present their capabilities and find potential team partners. This announcement serves as a pre-solicitation notice and is issued solely for information and planning purposes. The Proposers' Day Conference does not constitute a formal solicitation for proposals or proposal abstracts. Conference attendance is voluntary and is not required to propose to future solicitations (if any) associated with this program.",http://www.iarpa.gov/solicitations_osi.html,Richard,,POLMETH,,224
7/8/2011 9:43:10,International Masters in Computer Science: Intelligent Agents and  Multi-Agent Systems (IAMAS) Track,CS: IA&MAS,2011,France,Paris Descartes University,"Core Courses and Teachers (common to IAMAS and ML tracks) :
- Decision Theory : Alexis Tsoukias / Elise Bonzon 
- Agent-Oriented Learning : Bruno Bouzy
- Conferences and Seminars
- French courses for non french speakers

Specific-Track Courses and Teachers:
- Agent Communication Languages and Dialogues : Leila Amgoud 
- Computational Logic : Antonis Kakas
- Automated Negotiation : Nicolas Maudet / Elise Bonzon
- Planning : Pavlos Moraitis / Damien Pellier 
- Multi-Agent Planning : Pavlos Moraitis
- Constraint Satisfaction : Christian Bessiere/Yannis Dimopoulos
",http://www.mi.parisdescartes.fr/-Intelligent-Agents-and-Multi-Agent-,Richard,"ABM technical, ABM methodical",agents,"The deadlines for applying to the AI area (IAMAS and ML tracks) are July 15th (1st session) and August 31st (2nd session), and the deadlines for the CNCV area (CVIP and NS tracks) are July 15th (1st session) and September 12th (2nd session).",224
7/8/2011 8:59:52,"Summer Course in Complex Systems, Robotics and Environmental Awareness in Ankara, Turkey",,2011,"Ankara, Turkey",,"- Robotics and Programming (middle- and high school)
- Complex Systems (high school and undergraduate)
- Understanding Our Environment  (middle- and high school

Contact:  info@erinmez.com.tr for enrollment information.",http://www.ccs.neu.edu/home/galen/Summer_School.html,Richard,Complex Systems,"SOCNET - Actually, it was quite hard to get any information about this summer school.",-,224
7/11/2011 13:37:39,"Exploring Discrete Dynamics with DDLab from Cellular Automata to 
Random Networks",,2011-08-12,"Cite Internationale Universitaire de Paris, France",,"Workshop/tutorial at ECAL 2011
Discrete Dynamics Lab (DDLab) is open source interactive graphics software able to explore a huge diversity of behaviour, space-time patterns, and basins of attraction representing the convergent flow in state-space.
The workshop will include a tutorial to demonstrate DDLab, a chance to try out your own experiments -- bring your laptop with DDLab installed, and an opportunity for a 10 minute presentation of your work involving DDLab -- submit an abstract ASAP but not later than July 27.
",www.ddlab.org,Sascha,Complex Systems,,2011-07-27,225
8/5/2011 12:06:27,Information Systems Research Special Issue on Social Media and Business Transformation,,2012-01-15,-,,"This special issue of ISR is designed to stimulate innovative investigation of the
relationship between social media and business transformation. All lenses of inquiry into the nature of this relationship are encouraged, including strategic, organizational, behavioral, economic, and technical. We welcome theoretical, analytical, and empirical (using any kind of research method, including experiments, primary data from social media logs, case studies, simulations, surveys, and so on) contributions to the special issue. The research topics addressed in the papers might relate to some of the trends mentioned above, or to other aspects of the relationship between social media and business transformation.",http://www.informs.org/content/download/238725/2269755/file/CFP%20Social%20Media%20and%20Business%20Transformation-07-21-11%20edited.pdf,Richard,,SOCNET,,226
8/5/2011 12:31:19,OPOSSEM social science methods instruction short course at APSA,,"Wednesday, August 31, 1pm-4pm","USA, Seattle",,"If you teach undergraduate or graduate research methods, please consider joining us in Seattle for an APSA short course Wednesday, August 31, 1pm-4pm for an introduction to OPOSSEM, the Online Portal for Social Science Education in Methodology.
OPOSSEM is an online portal to facilitate sharing of various resources for
teaching social science research methods among educators in secondary, undergraduate, and postgraduate settings. At present, only limited educational material is freely available to serve the needs of basic research methods courses in the social sciences, particularly political science. The creation of problem sets and lecture notes is time-intensive, and methods courses requiring such preparation are becoming more widespread across all types of institutions.",http://opossem.org/,Richard,,POLMETH,,226
8/18/2011 14:25:25,Introductory training course Land use modeling with Metronamica,,September 14th and 15th 2011,"RIKS offices in Maastricht, The Netherlands",Research Institute for Knowledge Systems BV,"In this 2-day course, the following topics will be covered:
* Land use modeling: real-world applications
* What is Metronamica?
* How does Metronamica work?
* Setting up a Metronamica application for a new region
* Running simulations and interpreting results
* Integrating Metronamica with other models
There will be plenty of time to discuss land use modeling in general and any specific modeling project you may have in mind or are already working on, and how Metronamica can play a role in those projects.",http://www.metronamica.nl/,Sascha,"Policy, Market Dynamics, Societal Transition",,-,227
8/22/2011 0:23:34,Best PhD thesis project in computational game theory,,2011-10-15,N/A,John Templeton Foundation,"Intended applicants are PhD students in the field of Computational Game Theory.
PhD students in the final stage of their Thesis or who have recently defended their thesis are eligible.
Hopefully, this contest will spot the most insightful and original recent work in Computational Game Theory. Healthy competition between PhD students and the emergence of new, bold, ideas is encouraged.
Monetary amount: 1st prize - 1000 EUR,
                  2nd prize - 700 EUR,
                  3rd prize - 500 EUR.
Information at gametheory@rist.ro.",http://gametheory.rist.ro/phdcontest/,Richard,,,,227
8/22/2011 0:27:05,BCS Machine Intelligence Competition 2011,,2011-10-01,"Peterhouse College, Cambridge, UK, during the annual SGAI conference AI-2011",,"This is the tenth in an annual series of competitions for live demonstrations of 'Progress Towards Machine Intelligence' organized by the British Computer Society Specialist Group on Artificial Intelligence (SGAI) in association with AKRI Ltd.
The demonstration can be of either software (e.g. a question- answering system or a speech recognition system) or hardware (e.g. a mobile robot).
This competition will put on show real systems demonstrated live. It is hoped that the competition and the competitors, over several years, will provide a new interest and visible improvements in the development of machine intelligence.",http://www.bcs-sgai.org/micomp/,Richard,,,,227
9/19/2011 14:14:53,3rd Annual Complexity in Business Conference,CCB,10/14/2011,"Washington, DC",Center for Complexity in Business at the Robert H. Smith School of Business and the University of Maryland,"We invite you to participate in the 3rd Annual Complexity in Business Conference, which endeavors to be the premier meeting for the intersection of Complex Systems and Business. The conference will be a one-day event and will include talks by thought leaders and an audience composed of a blend of academics and industry practitioners.",http://www.rhsmith.umd.edu/ccb/conference/2011,Sascha,"Complex Systems, Market Dynamics",,Early registration ends on September 27th,229
9/19/2011 14:14:53,Summer School on Complex Systems Research and Methods in Business and Biology,CSBB,"January 16 to 27, 2012","UQ Research Station, Heron Island, Queensland, Australia",University of Sydney Business School,"After the success of the First Intensive Course on Agent-Based Modelling & Simulation for Business and Marketing held in July at the University of Sydney, we announce a two week summer school on Complex Systems Research and Methods in Business and Biology (CSBB) on Heron Island, Queensland, Australia from January 16 to 27, 2012. The summer school follows on from previous complex systems summer schools held in conjunction with CosNet, the Australian Complex Systems Network, at Charles Sturt University by the Centre for Research in Complex Systems.
The summer school celebrates, informs, educates and explores the nature, meaning, scope and applications of complex systems science in business, social and biological systems. We will begin with a three day intensive course and refresher on NetLogo, followed by a series of workshops and lectures on aspects of complex systems theory, research and methods. Participants will be assisted in the development and implementation of their own research projects. 
There will be several scholarships offered for suitably qualified candidates to join the course. ",http://sydney.edu.au/business/research/complexity/events/heron_island_summer_school_2012,Sascha,"Complex Systems, Market Dynamics",,2011-20-01,229
9/20/2011 12:17:53,The Second Social Learning Strategies Tournament,,2012-02-28,Online,,"Suppose you find yourself in an unfamiliar environment where you don't know how to get food, avoid danger, or travel from A to B. Would you invest time working out what to do on your own, or observe other individuals and copy them? Do you copy the first individual you see, or the most successful? Or just copy the most common behaviour? What would you do? These questions lie at the centre of a scientific challenge with important implications for the evolution of learning and culture: What is the best way to learn in a complex, changing world? Following the success of the first Social Learning Strategies Tournament1, we have now received funding to run a second tournament that builds on the first by allowing for cumulative culture, spatial variation, and model-based learning biases. To enter you need to propose a set of rules specifying how and when to learn. All entries will be pitted against each other in computer simulations with up to €25,000 in prize money to be won.",http://lalandlab.st-andrews.ac.uk,Richard,,AISB,,229
9/20/2011 22:56:14,Consciousness: can science explain it?,,"Thursday 20th, October, 4-7pm, including a break for refreshments","The Waldegrave Drawing Room, St Mary's University College, Twickenham",,"Is there any reason why consciousness cannot be explained in scientific terms?  Are the 'mind' and the 'brain' fundamentally different categories? Could a conscious being be constructed from sufficiently advanced electronic components? Could a machine be conscious? Is the human mind nothing but a sophisticated machine? Could conscious machines one day be more intelligent than us? Could they rule over us? Does the frontier of physics, such as quantum mechanics, enable us to explain consciousness?
Speakers:
Emeritus Professor Igor Aleksander (Imperial College, London), Fellow of the Royal Academy of Engineering 
Professor Johnjoe McFadden (University of Surrey), Professor of Molecular Genetics 
Professor Mark Bishop (Goldsmiths College), Professor of Cognitive Computing 
Professor Geoffrey Hunt (SMUC), CBET Director and Professorial Research Fellow in Philosophy and Nanotechnology
Chair: Dr Y. J. Erden (SMUC), Research Fellow in Ethics and Emerging Technologies",http://www.smuc.ac.uk/contact/directions.htm,Richard,,Nick,"For further information, please contact Dr Yasemin J. Erden: erdenyj@smuc.ac.uk",230
9/30/2011 11:15:12,Call for Students: Cybersociety - A study abroad semester,,2012 Spring Semester,Hungary,"Eötvös Loránd University, Budapest","The CyberSociety semester deals with innovative approaches in the social sciences. Besides sociology and social science majors susceptible to learn and adopt computational methods, the program expects physics, computer science, mathematics and different science majors with an interest to apply modeling and quantitative tools to social phenomena.","For application details, consult the homepage at http://cybersociety-semester.org",Richard,"Policy, Social Conflict, Social Networks, ABM methodical, Complex Systems",SOCNET,2011-11-15,230
9/30/2011 11:19:13,10th workshop on networks in economics and sociology: dynamic networks,,"November 24-25, 2011","Utrecht, The Netherlands","Vincent Buskens, Rense Corten & Stephanie Rosenkranz","Keynote Speakers: Sanjeev Goyal, Ray Reagans, Arnout van de Rijt and Fernando Vega Redondo
Department of Sociology / ICS; Utrecht School of Economics / TKI; Utrecht University",http://www.dyconi.nl/tenth_workshop_program.htm,Richard,"Market Dynamics, Social Conflict, Social Networks",SOCNET,2011-10-20,230
10/28/2011 18:33:05,Course: Agent-based modeling in the Social Sciences,,"Feb 11-18, 2012 ","Famagusta, Cyprus ",ECPR Winter School in Methods and Techniques ,"[...] This course provides a comprehensive introduction to ABM, drawing on examples across political science, sociology and economics. Using the free NetLogo software, students learn how to design agent-based simulation models from scratch and evaluate their output. The course starts with a discussion of ABM principles, and proceeds with a step-by-step introduction of essential ABM building blocks and their corresponding implementation in NetLogo. Further topics include the integration of empirical data, and the automatic execution of multiple simulation (""batch"") runs. In supervised lab sessions, students develop
their own implementation of an ABM. The exercises are based on the simple NetLogo programming language, and no prior experience in programming is required.",http://new.ecprnet.eu/MethodSchools/WinterSchools.aspx ,Sascha,ABM methodical,,,232
s,Ninth European Workshop on Multi-agent Systems,EUMAS 2011,"November 14th-15th, 2011","Maastricht, The Netherlands",,"Registration for EUMAS 2011 is now open!  Go to http://swarmlab.unimaas.nl/eumas2011/register-here/ to register for the workshop. Early registration prices are EUR200 for students and EUR260 for regular attendees, including a welcome reception on Sunday evening (13/11) and a very special dinner on Monday. Early registration closes on October 31st. After October 31st and on-site, prices will be EUR240 for students and EUR300 for regular attendees.
 
We are looking forward to seeing you at EUMAS 2011. Please be aware that at least one (unique) author needs to register per accepted contribution.",http://swarmlab.unimaas.nl/eumas2011/,Richard,,agents-request,On-site registration only,233
11/11/2011 12:21:44,Beyond AI: Interdisciplinary Aspects of Artificial Intelligence,BEYONDAI,8-9 Dec 2011,Czech Republic,,"- AI Applications in Real Life (scope and limits of applicability, harmonization of
implementation, the pros and cons of practical usefulness, ambient intelligence, reality of second life)
- AI for Human Health (patient?s experience with intelligent prosthetics, Eliza as a
psychotherapeutist, models for psychiatry, biomedical ethics)
- AI and Art (creative facets of designing AI products, aesthetics of computer-human contacts, cyberpunk art, machines as artists, science fiction)
- AI and Mind (artificial and natural thought, mind and consciousness, semiotic models, self-reference, emergence)
- AI versus IA (intelligence amplification, human cognitive enhancement, brain-computer interface, embodied cognitive science)
- Man-Machine Coexistence (man-machine communication, individual and social coexistence of human and machine, transhumanism, issues of prospective cohabitation and/or fight)
- Fringe AI (singularitarianism, mind-uploading, simulation argument, cyborg theory)",http://beyondai.zcu.cz/,Richard,,SSAISB,,233
